Year,Field-Location,RecId,Source,Pedigree,Replicate,Block,Plot,Range,Pass,"LOCAL_CHECK (Yes, No[Blank])",Plot Length Field,Alley Length,Row Spacing,Plot Area,Rows/Plot,Packet/Plot,Kernels/Packet,# Seed,Date Planted,Date Harvested,Anthesis [date],Silking [date],Pollen DAP [days],Silk DAP [days],Plant Height [cm],Ear Height [cm],Stand Count [plants],Root Lodging [plants],Stalk Lodging [plants],Grain Moisture [%],Test Weight [lbs/bu],Plot Weight [lbs],Grain Yield [bu/A],"Plot Discarded [enter ""yes"" or ""blank""]",Comments,"Filler [enter ""filler"" or ""blank""]",[add additional measurements here]
2014,IAH1a,2184751,13WJWE:LH198:3727,Z013E0079/LH198,2,4,99,11,36,,20,3,30,85,,,,72,5/17/14,10/21/14,7/22/14,7/25/14,66,69,212,95,68,0,0,25,54.8,23.46,190.5519864,,,,
2014,IAH2,2185451,13WJWE:LH198:3520,PHN11_PHG47_0390/LH198,2,8,244,52,73,,20,3,30,85,,,,72,5/16/14,10/26/14,,,,,250,100,68,0,0,20.3,55.7,22.07,190.4955626,,,,
2014,IAH2,2185450,13WJWE:LH198:3505,PHN11_PHG47_0172/LH198,2,8,243,52,74,,20,3,30,85,,,,72,5/16/14,10/26/14,,,,,224,110,68,0,0,19.2,57,21.75,190.3245586,,,,
2014,IAH4,2186372,13WJWE:LH185:2013,M0355/LH185,2,4,120,39,41,,20,3,30,85,,,,72,5/19/14,10/28/14,,,,,243,87,68,0,1,16.1,55.7,20.94,190.266727,,,,
2014,IAH3,2167377,13WJWE:LH198:3127,M0269/LH198,1,6,216,23,79,,20,3,30,85,,,,72,5/20/14,11/1/14,,,,,224,83,68,,1,17.7,57.3,21.34,190.2034804,,,,
2014,IAH3,2185733,13WJWE:LH185:2394,MOG_LH145_0175/LH185,1,5,161,18,75,,20,3,30,85,,,,72,5/20/14,11/1/14,,,,,243,125,68,,7,20.4,54,22.05,190.084135,,,,
2014,IAH2,2185431,13WJWE:LH198:3313,MO44_LH145_0127/LH198,2,8,225,50,72,,20,3,30,85,,,,72,5/16/14,10/26/14,,,,,245,110,68,0,0,17.9,57,21.35,189.8301739,,,,
2014,IAH1a,2184491,13WJWE:LH185:2697,Z013E0056/LH185,1,11,331,35,34,,20,3,30,85,,,,72,5/17/14,10/21/14,7/23/14,7/25/14,67,69,215,109,68,0,0,27.7,50.4,24.14,189.016524,,,,
2014,IAH4,2186520,13WJWE:LH185:2538,PHN11_PHW65_0359/LH185,2,6,197,47,38,,20,3,30,85,,,,72,5/19/14,10/28/14,,,,,210,90,68,0,0,18.7,55.8,21.46,188.9489455,,,,
2014,IAH4,2186232,13WJWE:LH185:2454,MOG_PHG83-224-1-1-1-1-B/LH185,1,2,67,8,41,,20,3,30,85,,,,72,5/19/14,10/28/14,,,,,244,120,68,0,16,23.2,52.6,22.69,188.7208679,,,,
2014,ONH1,2209949,13WJWE:LH198:3298,CGR01/LH198,1,8,240,20,7,,22,3,30,97.5,,,,76,5/19/14,11/4/14,8/1/14,8/2/14,74,75,249,116,68,,0,42.4,65.5,34.7,188.708072,,,,
2014,IAH1a,2184547,13WJWE:LH185:2487,PHN11_OH43_0075/LH185,1,4,57,7,28,,20,3,30,85,,,,72,5/17/14,10/21/14,7/18/14,7/20/14,62,64,226,90,68,0,0,17.7,53.9,21.17,188.6882699,,,,
2014,IAH1a,2184683,13WJWE:LH198:3037,M0323/LH198,2,6,182,20,36,,20,3,30,85,,,,72,5/17/14,10/21/14,7/24/14,7/26/14,68,70,225,94,68,0,0,21.5,57,22.19,188.6475495,,,,
2014,IAH1c,2187083,13WJWE:CG102:1107,M0172/CG102,1,4,105,12,7,,20,3,30,85,,,,72,5/9/14,10/20/14,7/14/14,7/15/14,66,67,230,90,68,0,0,17.2,56,21.03,188.5792129,,,,
2014,IAH3,2185685,13WJWE:LH198:3487,PHN11_OH43_0075/LH198,1,1,59,7,76,,20,3,30,85,,,,72,5/20/14,11/1/14,,,,,208,105,68,,0,18.3,56.5,21.3,188.4628998,,,,
2014,ONH1,2209795,13WJWE:CG102:1017,M0352/CG102,1,5,139,12,10,,22,3,30,97.5,,,,76,5/19/14,11/4/14,7/27/14,7/27/14,69,69,279,134,68,,1,33.7,65,30.05,188.1033473,,,,
2014,IAH1a,2184971,LOCAL_CHECK,MBS2747_MBS9508,2,7,223,24,37,Yes,20,3,30,85,,,,72,5/17/14,10/21/14,7/21/14,7/23/14,65,67,200,80,68,0,0,24.4,54.9,22.96,187.9827023,,,,
2014,ILH1,2210774,13WJWE:LH198:3538,PHN11_PHW65_0359/LH198,2,4,114,7,61,,20,3,30,87.5,,,,,5/6/14,10/7/14,7/11/14,7/12/14,66,67,213,100,68,0,0,18.3,56.5,21.85,187.8056181,,,,
2014,IAH2,2185460,13WJWE:LH198:3364,MOG_LH123HT-045-1-1-1-1-B/LH198,2,8,205,48,72,,20,3,30,85,,,,72,5/16/14,10/26/14,,,,,250,130,68,4,2,23.1,54.7,22.49,187.3009605,,,,
2014,ONH1,2209778,13WJWE:CG102:1017,M0352/CG102,1,5,157,14,2,,22,3,30,97.5,,,,76,5/19/14,11/4/14,7/27/14,7/27/14,69,69,245,140,68,,1,32.7,63.4,29.39,186.7468003,,,,
2014,WIH1,2216349,13WJWE:CG102:1379,Z022E0134/CG102,1,4,87,10,9,,24,3,30,107.5,,,,80,5/9/14,10/28/14,7/19/14,7/19/14,71,71,245,118,68,0,0,18.1,58.5,26.59,186.4819963,,,,
2014,IAH2,2185363,13WJWE:LH198:3037,M0323/LH198,2,7,196,47,68,,20,3,30,85,,,,72,5/16/14,10/26/14,,,,,250,130,68,6,3,19.7,58,21.41,186.1900299,,,,
2014,IAH4,2186262,13WJWE:LH185:2349,MO44_PHW65_0126/LH185,1,2,79,9,36,,20,3,30,85,,,,72,5/19/14,10/28/14,,,,,246,105,68,0,1,18.8,56.5,21.17,186.1663125,,,,
2014,IAH1a,2184543,13WJWE:LH185:2490,PHN11_OH43_0088/LH185,1,4,86,10,30,,20,3,30,85,,,,72,5/17/14,10/21/14,7/18/14,7/21/14,62,65,200,80,68,0,1,24.5,51,22.74,185.9352025,,,,
2014,ILH1,2210446,13WJWE:LH198:3847,Z022E0046/LH198,1,1,27,3,35,,20,3,30,87.5,,,,,5/6/14,9/30/14,7/14/14,7/15/14,69,70,242,121,68,0,1,17.7,54.6,21.44,185.6349298,,,,
2014,ILH1,2210618,WE13-195ISO-108-X-POL-195,PHB47/LH195,2,8,256,14,79,,20,3,30,87.5,,,,,5/6/14,10/7/14,7/12/14,7/13/14,67,68,243,106,68,0,0,17.7,52,21.43,185.5483463,,,,
2014,IAH1a,2184982,13WJWE:LH185:2595,LH195/LH185,2,7,226,24,40,,20,3,30,85,,,,72,5/17/14,10/21/14,7/23/14,7/24/14,67,68,180,65,68,0,0,22,54,21.93,185.2496702,,,,
2014,IAH1c,2187266,13WJWE:CG102:1008,M0027/CG102,2,2,15,22,4,,20,3,30,85,,,,72,5/9/14,10/20/14,7/11/14,7/13/14,63,65,216,93,68,0,0,16.7,58.7,20.51,185.0268993,,,,
2014,IAH1a,2184944,13WJWE:LH185:2748,Z013E0093/LH185,2,10,322,34,36,,20,3,30,85,,,,72,5/17/14,10/21/14,7/20/14,7/23/14,64,67,225,107,68,0,0,27,50.3,23.39,184.9171925,,,,
2014,ILH1,2210348,GTF-01:49,CG102/LH82,1,6,146,9,37,,20,3,30,87.5,,,,,5/6/14,9/30/14,7/7/14,7/8/14,62,63,202,98,68,0,0,15.7,58.6,20.84,184.8248537,,,,
2014,IAH1a,2184349,13WJWE:LH198:3523,PHN11_PHW65_0015/LH198,1,12,412,43,33,,20,3,30,85,,,,72,5/17/14,10/21/14,7/21/14,7/23/14,65,67,234,120,68,0,0,21.6,56,21.75,184.6713539,,,,
2014,IAH1c,2187272,13WJWE:CG102:1022,M0058/CG102,2,2,23,23,9,,20,3,30,85,,,,72,5/9/14,10/20/14,7/11/14,7/14/14,63,66,224,90,68,0,1,17.4,56,20.64,184.6349654,,,,
2014,IAH1b,2186783,WE13-195ISO-240-X-POL-195,MOG_PHG83-090-1-1-1-1-B/LH195,1,10,189,21,23,,20,3,30,85,,,,72,5/17/14,10/20/14,7/26/14,7/26/14,70,70,213,105,68,1,3,27,51.9,23.3,184.2056684,,,,
2014,IAH1b,2186951,WE13-80ISO-152-X-POL-80,PHN11_PHW65_0065/PB80,2,9,191,47,23,,20,3,30,85,,,,72,5/17/14,10/20/14,7/22/14,7/23/14,66,67,222,100,68,0,0,23.3,54.2,22.16,184.0726773,,,,
2014,IAH3,2186017,13WJWE:LH185:2430,MOG_OH43_0170/LH185,2,2,56,33,76,,20,3,30,85,,,,72,5/20/14,11/1/14,,,,,210,80,68,,0,19.8,53,21.19,184.0473354,,,,
2014,WIH1,2216329,13SAJL:NURSE:0079,B37/H95,1,2,43,6,5,,24,3,30,107.5,,,,80,5/9/14,10/28/14,7/27/14,7/28/14,79,80,285,145,68,0,9,26,57.3,28.99,183.702305,,,,
2014,ILH1,2210711,13WJWE:LH198:3742,Z013E0090/LH198,2,3,89,6,65,,20,3,30,87.5,,,,,5/6/14,10/7/14,7/14/14,7/16/14,69,71,212,99,68,0,0,19.9,57.1,21.79,183.6220485,,,,
2014,IAH1b,2186745,WE13-195ISO-418-X-POL-195.2,Z013E0044/LH195,1,6,86,11,20,,20,3,30,85,,,,72,5/17/14,10/20/14,7/30/14,7/30/14,74,74,203,104,68,0,1,28.5,51.7,23.71,183.5954039,,,,
2014,IAH2,2185551,13WJWE:LH185:2175,M0297/LH185,2,1,11,28,66,,20,3,30,85,,,,72,5/16/14,10/26/14,,,,,231,91,68,0,0,19,54.6,20.89,183.2515548,,,,
2014,IAH1c,2187349,13SAJL:NURSE:0189,B73/TX205,2,5,145,35,11,,20,3,30,85,,,,72,5/9/14,10/20/14,7/21/14,7/22/14,73,74,243,140,68,1,3,22,50.3,21.68,183.1378409,,,,
2014,WIH1,2216512,13WJWE:LH198:3421,MOG_NC230-011-1-1-1-1-B/LH198,1,7,241,26,3,,24,3,30,107.5,,,,80,5/9/14,10/28/14,7/27/14,7/27/14,79,79,280,143,68,0,0,26.3,57.2,29,183.0206765,,,,
2014,ONH1,2210173,13WJWE:CG102:1274,PHW65_MOG_0293/CG102,2,5,112,30,9,,22,3,30,97.5,,,,76,5/19/14,11/4/14,7/30/14,7/31/14,72,73,273,162,68,,7,34.3,63.2,29.43,182.5551759,,,,
2014,IAH1b,2186945,WE13-80ISO-058-X-POL-80,PHN11_OH43_0142/PB80,2,9,181,46,16,,20,3,30,85,,,,72,5/17/14,10/20/14,7/20/14,7/22/14,64,66,213,97,68,0,0,26.7,52.8,22.94,182.1048856,,,,
2014,IAH2,2185328,13SAJL:NURSE:0103,PHW52/PHM49,2,3,101,37,73,,20,3,30,85,,,,72,5/16/14,10/26/14,,,,,235,125,68,0,2,23.3,54.2,21.9,181.9129799,,,,
2014,IAH1b,2186926,WE13-80ISO-228-X-POL-80,MOG_OH43_0179/PB80,2,9,192,47,22,,20,3,30,85,,,,72,5/17/14,10/20/14,7/22/14,7/25/14,66,69,255,125,68,0,13,23.4,54.5,21.92,181.8417192,,,,
2014,IAH1c,2187453,13WJWE:CG102:1152,MO44_LH145_0138/CG102,2,4,87,30,12,,20,3,30,85,,,,72,5/9/14,10/20/14,7/11/14,7/14/14,63,66,218,98,68,0,0,16.4,57.3,20.07,181.7095945,,,,
2014,ONH1,2209916,13WJWE:CG102:1239,PHN11_OH43_0088/CG102,1,2,61,6,10,,22,3,30,97.5,,,,76,5/19/14,11/4/14,7/28/14,7/28/14,70,70,237,103,68,,0,30.6,63,27.73,181.6970429,,,,
2014,IAH1a,2184425,13WJWE:LH185:2046,M0378/LH185,1,7,249,26,33,,20,3,30,85,,,,72,5/17/14,10/21/14,7/21/14,7/23/14,65,67,222,85,68,0,0,19.2,53.2,20.75,181.5740042,,,,
2014,WIH1,2216481,13WJWE:LH198:3868,Z022E0003/LH198,1,3,80,9,3,,24,3,30,107.5,,,,80,5/9/14,10/28/14,7/29/14,7/29/14,81,81,243,125,68,0,0,21.8,53,27.03,181.003707,,,,
2014,IAH2,2185294,13WJWE:LH185:2046,M0378/LH185,1,4,108,12,72,,20,3,30,85,,,,72,5/16/14,10/26/14,,,,,240,115,68,30,2,19,52.9,20.63,180.9707791,,,,
2014,NYH1,2214503,GTF-01:02,LH82/CG60,1,1,27,1,27,,21,4,30,85,,,,80,5/29/14,12/8/14,7/28/14,,60,,226,109,68,0,7,18.1,,20.4,180.9415384,,,,
2014,NYH1,2214526,GTF-01:47,CG108/LH82,1,1,26,1,26,,21,4,30,85,,,,80,5/29/14,12/8/14,7/28/14,,60,,229,126,68,0,25,18.8,,20.56,180.8020493,,,,
2014,ILH1,2210377,13WJWE:LH198:3190,M0325/LH198,1,7,244,14,15,,20,3,30,87.5,,,,,5/6/14,9/30/14,7/12/14,7/13/14,67,68,245,130,68,0,10,19.1,56.4,21.24,180.7748941,,,,
2014,IAH1b,2186761,WE13-195ISO-199-X-POL-195,PHN11_PHW65_0275/LH195,1,10,212,24,23,,20,3,30,85,,,,72,5/17/14,10/20/14,7/26/14,7/26/14,70,70,200,95,68,0,1,23.4,53.9,21.78,180.6803213,,,,
2014,IAH1a,2184997,13WJWE:LH185:2010,B73_NC230-129-1-1-1-1/LH185,2,9,292,31,43,,20,3,30,85,,,,72,5/17/14,10/21/14,7/22/14,7/23/14,66,67,224,110,68,0,0,26.5,51.4,22.69,180.6117681,,,,
2014,IAH1a,2184578,13WJWE:LH185:2418,MOG_NC230-010-1-1-1-1-B/LH185,1,4,91,11,34,,20,3,30,85,,,,72,5/17/14,10/21/14,7/22/14,7/24/14,66,68,233,115,68,0,8,26,50,22.53,180.5581601,,,,
2014,IAH3,2185639,13WJWE:LH198:3727,Z013E0079/LH198,1,3,106,12,80,,20,3,30,85,,,,72,5/20/14,11/1/14,,,,,238,120,68,,0,21.8,55.7,21.31,180.4739035,,,,
2014,ONH1,2210132,13WJWE:CG102:1293,PB80/CG102,2,1,1,22,2,,22,3,30,97.5,,,,76,5/19/14,11/4/14,8/1/14,8/2/14,74,75,237,126,68,,0,34.7,64.9,29.26,180.395634,,,,
2014,IAH1b,2186618,WE13-80ISO-074-X-POL-80,Z022E0094/PB80,1,5,62,9,16,,20,3,30,85,,,,72,5/17/14,10/20/14,7/25/14,7/26/14,69,70,228,109,68,0,0,28.2,51,23.13,179.8557332,,,,
2014,NEH1,2213041,13WJWE:LH185:2055,M0266/LH185,2,6,208,14,16,,20,3,30,87.5,,,,76,5/16/14,10/22/14,7/19/14,7/19/14,64,64,218,97,68,0,1,15.7,59.4,20.25,179.5922883,,,,
2014,ILH1,2210471,13WJWE:LH198:3682,Z013E0045/LH198,1,3,63,5,43,,20,3,30,87.5,,,,,5/6/14,9/30/14,7/17/14,7/19/14,72,74,248,126,68,0,0,21.9,53.7,21.84,179.4480527,,,,
2014,ILH1,2210302,GTF-01:01,LH162/CG60,1,6,186,11,37,,20,3,30,87.5,,,,,5/6/14,9/30/14,7/5/14,7/6/14,60,61,195,100,68,0,0,14,58.4,19.8,179.1425383,,,,
2014,IAH1b,2186736,WE13-195ISO-426-X-POL-195,Z022E0095/LH195,1,4,51,8,24,,20,3,30,85,,,,72,5/17/14,10/20/14,7/25/14,7/25/14,69,69,208,96,68,0,0,25.4,54.6,22.15,178.9520868,,,,
2014,IAH1a,2184214,13WJWE:LH198:3037,M0323/LH198,1,13,454,47,31,,20,3,30,85,,,,72,5/17/14,10/21/14,7/23/14,7/24/14,67,68,222,103,68,0,0,21.2,56.5,20.93,178.6157103,,,,
2014,IAH2,2185320,13SAJL:NURSE:0133,LH74/PHG35,2,3,97,37,69,,20,3,30,85,,,,72,5/16/14,10/26/14,,,,,216,91,68,1,0,17.1,56.6,19.88,178.482286,,,,
2014,ILH1,2210409,13WJWE:LH198:3043,M0058/LH198,1,7,198,11,13,,20,3,30,87.5,,,,,5/6/14,9/30/14,7/11/14,7/13/14,66,68,232,111,68,0,0,18.6,55.2,20.83,178.3810667,,,,
2014,ILH1,2210731,13WJWE:LH198:3040,M0024/LH198,2,3,79,5,51,,20,3,30,87.5,,,,,5/6/14,10/7/14,7/13/14,7/14/14,68,69,235,117,68,0,1,16.8,56.9,20.32,177.861566,,,,
2014,IAH3,2185610,13WJWE:LH198:3802,Z022E0114/LH198,1,2,86,10,80,,20,3,30,85,,,,72,5/20/14,11/1/14,,,,,232,120,68,,4,20.8,54.2,20.73,177.8069338,,,,
2014,WIH1,2216649,13WJWE:LH198:3109,M0041/LH198,2,6,201,22,13,,24,3,30,107.5,,,,80,5/9/14,10/28/14,7/28/14,7/29/14,80,81,275,147,68,0,0,22.5,56,26.77,177.65799,,,,
2014,IAH1a,2184453,13WJWE:LH185:2859,Z022E0121/LH185,1,10,301,32,25,,20,3,30,85,,,,72,5/17/14,10/21/14,7/21/14,7/22/14,65,66,221,103,68,0,1,19.6,50,20.4,177.6275908,,,,
2014,IAH4,2186222,13WJWE:LH185:2433,MOG_OH43_0367/LH185,1,2,97,11,38,,20,3,30,85,,,,72,5/19/14,10/28/14,,,,,230,90,68,0,1,19.2,54.6,20.29,177.5487492,,,,
2014,NYH1,2214735,13WJWE:CG102:1154,MO44_LH145_0127/CG102,1,9,216,6,31,,21,4,30,85,,,,80,5/29/14,12/8/14,7/28/14,,60,,230,92,68,0,3,17.6,,19.87,177.3165562,,,,
2014,IAH1b,2187027,WE13-195ISO-389-X-POL-195.2,MOG_MO45-054-1-1-1-1-B/LH195,2,3,49,32,24,,20,3,30,85,,,,72,5/17/14,10/20/14,7/27/14,7/27/14,71,71,218,108,68,0,0,20.7,54.1,20.62,177.0867459,,,,
2014,ILH1,2210420,13WJWE:LH198:3790,Z022E0053/LH198,1,1,17,2,41,,20,3,30,87.5,,,,,5/6/14,9/30/14,7/13/14,7/14/14,68,69,228,122,68,0,0,19.4,55.5,20.85,176.7975258,,,,
2014,ONH1,2209873,13WJWE:CG102:1293,PB80/CG102,1,3,95,9,11,,22,3,30,97.5,,,,76,5/19/14,11/4/14,7/28/14,7/28/14,70,70,246,129,68,,0,33.8,65.4,28.26,176.631707,,,,
2014,IAH1b,2186823,WE13-80ISO-398-X-POL-80,M0315/PB80,2,2,32,31,22,,20,3,30,85,,,,72,5/17/14,10/20/14,7/26/14,7/26/14,70,70,230,125,68,0,0,21.4,55.3,20.67,175.9491738,,,,
2014,IAH1b,2186712,WE13-195ISO-295-X-POL-195,M0382/LH195,1,9,170,19,24,,20,3,30,85,,,,72,5/17/14,10/20/14,7/26/14,7/26/14,70,70,200,87,68,0,3,21.9,54.7,20.78,175.7603004,,,,
2014,IAH1b,2186614,WE13-80ISO-170-X-POL-80,Z022E0025/PB80,1,5,73,10,22,,20,3,30,85,,,,72,5/17/14,10/20/14,7/20/14,7/22/14,64,66,230,105,68,0,0,24.9,52.6,21.61,175.7595424,,,,
2014,IAH1a,2184411,13WJWE:LH185:2088,M0106/LH185,1,7,225,25,29,,20,3,30,85,,,,72,5/17/14,10/21/14,7/22/14,7/23/14,66,67,213,83,68,0,0,22.3,52.4,20.87,175.6174541,,,,
2014,IAH2,2185424,13WJWE:LH198:3487,PHN11_OH43_0075/LH198,2,8,245,52,72,,20,3,30,85,,,,72,5/16/14,10/26/14,,,,,235,115,68,7,1,20.6,56.2,20.38,175.2463137,,,,
2014,ONH1,2210017,13WJWE:CG102:1107,M0172/CG102,2,7,215,38,8,,22,3,30,97.5,,,,76,5/19/14,11/4/14,7/28/14,7/30/14,70,72,256,125,68,,0,31,64.6,26.9,175.2426815,,,,
2014,WIH1,2216384,13WJWE:LH198:3157,M0151/LH198,1,5,118,13,5,,24,3,30,107.5,,,,80,5/9/14,10/28/14,7/27/14,7/27/14,79,79,243,120,68,0,0,21.8,56.2,26.16,175.1778385,,,,
2014,ILH1,2210303,GTF-01:02,LH82/CG60,1,6,185,11,39,,20,3,30,87.5,,,,,5/6/14,9/30/14,7/6/14,7/7/14,61,62,192,102,68,12,0,14.7,57.2,19.5,174.9922134,,,,
2014,TXH2,2219239,WE13-195ISO-240-X-POL-195,MOG_PHG83-090-1-1-1-1-B/LH195,1,9,196,11,5,,20,2,30,90,,,,,4/23/14,9/30/14,7/12/14,7/13/14,80,81,207,94,68,0,0,17.1,9,20.63,174.9260075,,,,
2014,IAH2,2185218,13WJWE:LH198:3661,Z013E0028/LH198,1,7,210,22,74,,20,3,30,85,,,,72,5/16/14,10/26/14,,,,,237,135,68,12,1,20.7,57.9,20.36,174.8538383,,,,
2014,IAH3,2185753,13WJWE:LH185:2391,MOG_LH145_0173/LH185,1,5,188,20,82,,20,3,30,85,,,,72,5/20/14,11/1/14,,,,,217,93,68,,4,20.2,55.7,20.22,174.7464058,,,,
2014,IAH3,2185803,GTF-01:45,CG118/CGR01,2,6,247,52,82,,20,3,30,85,,,,72,5/20/14,11/1/14,,,,,217,105,68,,1,16.5,56.2,19.28,174.3482989,,,,
2014,NYH1,2214665,13WJWE:CG102:1308,W10005_0029/CG102,1,8,192,6,7,,21,4,30,85,,,,80,5/29/14,12/8/14,7/27/14,,59,,270,103,68,1,7,17.1,,19.39,174.0830747,,,,
2014,IAH4,2186224,13WJWE:LH185:2490,PHN11_OH43_0088/LH185,1,2,104,12,38,,20,3,30,85,,,,72,5/19/14,10/28/14,,,,,230,90,68,0,2,19.9,53.6,20.06,174.0153879,,,,
2014,ONH1,2210157,13WJWE:CG102:1269,PHW65_MOG_0511/CG102,2,5,98,29,8,,22,3,30,97.5,,,,76,5/19/14,11/4/14,7/28/14,7/28/14,70,70,261,122,68,,2,30.6,64.4,26.54,173.8997302,,,,
2014,ONH1,2209971,13SAJL:NURSE:0133,LH74/PHG35,2,3,20,23,8,,22,3,30,97.5,,,,76,5/19/14,11/4/14,8/6/14,8/6/14,79,79,251,138,68,,0,34,64.6,27.89,173.7924754,,,,
2014,IAH2,2185230,13WJWE:LH198:3649,Z013E0019/LH198,1,7,209,22,73,,20,3,30,85,,,,72,5/16/14,10/26/14,,,,,246,120,68,24,0,23,54.5,20.84,173.7851444,,,,
2014,ONH1,2210154,13WJWE:CG102:1161,MO44_PHG47_0125/CG102,2,5,129,31,3,,22,3,30,97.5,,,,76,5/19/14,11/4/14,7/25/14,7/25/14,67,67,222,97,68,,0,32,62.3,27.03,173.5375563,,,,
2014,NEH1,2213032,13WJWE:LH185:2124,M0118/LH185,2,6,223,15,2,,20,3,30,87.5,,,,76,5/16/14,10/22/14,7/18/14,7/18/14,63,63,207,96,68,0,0,16.4,58.9,19.72,173.4396027,,,,
2014,WIH1,2216701,13WJWE:LH198:3097,M0272/LH198,2,1,8,2,20,,24,3,30,107.5,,,,80,5/9/14,10/28/14,7/26/14,7/26/14,78,78,243,118,68,0,0,18.3,59.3,24.79,173.433606,,,,
2014,NYH1,2214530,GTF-01:51,CG119/LH82,1,1,16,1,16,,21,4,30,85,,,,80,5/29/14,12/8/14,7/27/14,,59,,191,93,68,0,4,18.1,,19.55,173.4023076,,,,
2014,ILH1,2210704,13WJWE:LH198:3835,Z022E0005/LH198,2,5,174,10,75,,20,3,30,87.5,,,,,5/6/14,10/7/14,7/13/14,7/15/14,68,70,229,111,68,0,0,16.9,52.7,19.79,173.0142601,,,,
2014,IAH1a,2184524,13WJWE:LH185:2559,TX772W/LH185,1,8,280,29,25,,20,3,30,85,,,,72,5/17/14,10/21/14,7/24/14,7/24/14,68,68,209,90,68,0,0,25.6,52.5,21.46,172.9126881,,,,
2014,IAH2,2185352,13WJWE:LH198:3064,M0008/LH198,2,7,171,44,66,,20,3,30,85,,,,72,5/16/14,10/26/14,,,,,228,95,68,0,0,20.7,57.5,20.13,172.8785739,,,,
2014,ONH1,2209817,13WJWE:CG102:1008,M0027/CG102,1,4,132,12,3,,22,3,30,97.5,,,,76,5/19/14,11/4/14,7/25/14,7/25/14,67,67,246,104,68,,0,31.7,65.4,26.79,172.7555213,,,,
2014,IAH4,2186190,13WJWE:LH185:2625,W10005_0147/LH185,1,4,144,16,38,,20,3,30,85,,,,72,5/19/14,10/28/14,,,,,225,100,68,0,0,17.6,55.8,19.35,172.6761632,,,,
2014,ILH1,2210386,13WJWE:LH198:3109,M0041/LH198,1,7,240,13,9,,20,3,30,87.5,,,,,5/6/14,9/30/14,7/12/14,7/14/14,67,69,240,125,68,0,7,15.8,55.6,19.49,172.6469906,,,,
2014,IAH2,2185423,13WJWE:LH198:3490,PHN11_OH43_0088/LH198,2,8,208,48,69,,20,3,30,85,,,,72,5/16/14,10/26/14,,,,,225,86,68,0,1,22.1,53.7,20.41,172.1887097,,,,
2014,IAH2,2185312,GTF-01:03,LH82/CGR01,2,3,116,39,68,,20,3,30,85,,,,72,5/16/14,10/26/14,,,,,200,80,68,0,0,17.6,56.6,19.28,172.0514949,,,,
2014,IAH2,2185360,13WJWE:LH198:3151,M0354/LH198,2,7,147,42,70,,20,3,30,85,,,,72,5/16/14,10/26/14,,,,,224,117,68,0,6,18.2,59.1,19.42,172.0389322,,,,
2014,IAH1a,2184351,13WJWE:LH198:3454,MOG_PHG83-224-1-1-1-1-B/LH198,1,12,405,42,29,,20,3,30,85,,,,72,5/17/14,10/21/14,7/24/14,7/25/14,68,69,227,130,68,11,6,23.5,51.5,20.74,171.8281825,,,,
2014,ILH1,2210390,13WJWE:LH198:3127,M0269/LH198,1,7,232,13,25,,20,3,30,87.5,,,,,5/6/14,9/30/14,7/10/14,7/13/14,65,68,231,112,68,0,0,16,56.7,19.43,171.7066711,,,,
2014,IAH2,2185177,13WJWE:LH198:3544,PHW65_MOG_0137/LH198,1,5,130,14,74,,20,3,30,85,,,,72,5/16/14,10/26/14,,,,,245,120,68,59,0,21.2,56.9,20.12,171.7032055,,,,
2014,ONH1,2209980,GTF-01:40,CG44/CGR01,2,3,27,24,2,,22,3,30,97.5,,,,76,5/19/14,11/4/14,7/26/14,7/26/14,68,68,224,95,68,,0,25.8,64.6,24.41,171.0055493,,,,
2014,TXH1,2218452,WE13-80ISO-392-X-POL-80,M0164/PB80,1,3,44,5,29,,25,4,30,105,,,,47,3/1/14,8/21/14,5/23/14,5/23/14,83,83,193,84,68,,,11.3,56.9,21.97,170.8470611,,,,
2014,IAH1a,2184937,13WJWE:LH185:2847,Z022E0046/LH185,2,13,459,47,36,,20,3,30,85,,,,72,5/17/14,10/21/14,7/20/14,7/21/14,64,65,221,90,68,0,0,23.8,49.8,20.7,170.8242513,,,,
2014,ONH1,2209814,13WJWE:CG102:1392,Z022E0025/CG102,1,4,110,10,7,,22,3,30,97.5,,,,76,5/19/14,11/4/14,7/24/14,7/24/14,66,66,251,115,68,,0,31.9,62.8,26.54,170.6422425,,,,
2014,IAH1c,2187350,13SAJL:NURSE:0133,LH74/PHG35,2,5,150,36,9,,20,3,30,85,,,,72,5/9/14,10/20/14,7/17/14,7/19/14,69,71,222,102,68,0,0,17.3,56.5,19.02,170.3492522,,,,
2014,ONH1,2209786,13WJWE:CG102:1095,M0325/CG102,1,5,175,15,9,,22,3,30,97.5,,,,76,5/19/14,11/4/14,7/28/14,7/29/14,70,71,285,149,68,,0,36.3,67.5,28.31,170.2620354,,,,
2014,IAH1c,2187105,13WJWE:CG102:1103,M0114/CG102,1,4,134,15,9,,20,3,30,85,,,,72,5/9/14,10/20/14,7/14/14,7/16/14,66,68,216,97,68,0,0,17.5,54.7,19.05,170.2053229,,,,
2014,WIH1,2216457,13WJWE:LH198:3790,Z022E0053/LH198,1,3,57,7,6,,24,3,30,107.5,,,,80,5/9/14,10/28/14,7/26/14,7/27/14,78,79,237,108,68,0,0,22.1,57.3,25.48,169.9697173,,,,
